Produto,Categoria,Estoque,Preço Varejo,Preço Atacado,Custo da Peça,Valor com Banho,Margem Lucro,Observações
PIERCING DE PRESSÃO CRAVEJADO,Piercing Pressão,0,15.90,12.72,1.50,2.45,549,
PIERCING PRESSÃO CORRENTE DOURADO,Piercing Pressão,0,15.90,12.72,0.95,,1574,
ESCAPULÁRIO FOCO FORÇA E FÉ,Colar,0,9.90,7.92,0.70,,100,
PULSEIRA AMOR DE MÃE,Pulseira,0,12.90,10.32,0.70,,100,
PIERCING LISO DOURADO,Piercing Pressão,0,9.99,7.99,0.70,,100,
PULSEIRA MEDALHA MUNDO,Pulseira,0,14.90,11.92,0.70,,100,
COLAR COROA,Colar,0,19.90,15.92,0.70,,100,
BRINCO PRAIANA CONCHA,Brinco,0,19.90,15.92,0.70,,100,
CONJUNTO CORAÇÃO DIAMANTADO,Conjunto,0,21.90,17.52,0.70,,100,
BRINCO MÃO DE FÁTIMA,Brinco,0,14.90,11.92,0.70,,100,
PULSEIRA PÉROLA,Pulseira,0,14.90,11.92,0.70,,100,
ANEL TREVINHO DIAMANTADO AJUSTÁVEL,Anel,0,15.90,12.72,0.70,,100,
ANEL BORBOLETA DIAMANTADA AJUSTÁVEL,Anel,0,16.90,13.52,0.70,,100,
PULSEIRA PAI NOSSO ZIRCÔNIA,Pulseira,0,39.90,31.92,0.70,,100,
ANEL AJUSTÁVEL ESTRELA CRAVEJADA,Anel,0,15.90,12.72,0.70,,100,
COLAR TREVO 4 FOLHAS,Colar,0,16.90,13.52,0.70,,100,
COLAR CORAÇÃO DIAMANTADO,Colar,0,16.90,13.52,0.70,,100,
COLAR MARGARIDA,Colar,0,15.90,12.72,0.70,,100,
COLAR I LOVE YOU,Colar,0,13.90,11.12,0.70,,100,
ANEL CRAVEJADO PREGO TAM 16,Anel,0,19.90,15.92,0.70,,100,
ANEL AJUSTÁVEL LISO,Anel,0,14.90,11.92,0.70,,100,
ANEL TREVO CRAVEJADO,Anel,0,19.90,15.92,0.70,,100,
ANEL TRIÂNGULO ZIRCÔNIA,Anel,0,15.90,12.72,0.70,,100,
ANEL NÃO AJUSTÁVEL,Anel,0,14.90,11.92,0.70,,100,
ANEL FLOR AJUSTÁVEL,Anel,0,14.90,11.92,0.70,,100,
ANEL AJUSTÁVEL LUA,Anel,0,14.90,11.92,0.70,,100,
ANEL AJUSTÁVEL OLHO,Anel,0,14.90,11.92,0.70,,100,
ANEL SOLITÁRIO AJUSTÁVEL,Anel,0,14.90,11.92,0.70,,100,
ANEL CORAÇÃO AJUSTÁVEL DIAMANTADO,Anel,0,14.90,11.92,0.70,,100,
COLAR ELOS CARTIER + CORAÇÃO ZIRCÔNIA,Colar,0,17.90,14.32,0.70,,100,
CHOCKER ENROLADA DIAMANTADA,Chocker,0,15.90,12.72,0.70,,100,
CHOCKER CORDÃO BAHIANO,Chocker,0,16.90,13.52,0.70,,100,
CHOCKER FITA LAMINADA 2mm,Chocker,0,16.90,13.52,0.70,,100,
PULSEIRA BLUE,Pulseira,0,14.90,11.92,0.70,,100,
PULSEIRA CORAÇÃO,Pulseira,0,14.90,11.92,0.70,,100,
PULSEIRA TREVO,Pulseira,0,15.90,12.72,0.70,,100,
PULSEIRA ZIRCÔNIA,Pulseira,0,14.90,11.92,0.70,,100,
PULSEIRA ESCAMA VAZADA,Pulseira,0,14.90,11.92,0.70,,100,
PULSEIRA PREMICIA DIAMANTADA,Pulseira,0,16.90,13.52,0.70,,100,
PULSEIRA ZIRCÔNIA ROSA,Pulseira,0,14.90,11.92,0.70,,100,
PULSEIRA OLHO GREGO,Pulseira,0,14.90,11.92,0.70,,100,
PULSEIRA TRIO MINIMALISTA,Pulseira,0,17.90,14.32,0.70,,100,
PULSEIRA CORDÃO BAHIANO,Pulseira,0,16.90,13.52,0.70,,100,
PULSEIRA CORAÇÃO + PONTOS ROSA,Pulseira,0,14.90,11.92,0.70,,100,
PULSEIRA FITA LAMINADA 2mm,Pulseira,0,14.90,11.92,0.70,,100,
BRINCO QUADRADINHO,Brinco,0,14.90,11.92,0.70,,100,
BRINCO V DIAMANTADO,Brinco,0,15.90,12.72,0.70,,100,
BERLOQUE FLOCO DE NEVE,Berloque,0,17.90,14.32,0.70,,100,
BERLOQUE OLHO,Berloque,0,15.90,12.72,0.70,,100,
BERLOQUE LOVE ROSA,Berloque,0,15.90,12.72,0.70,,100,
SEPARADOR BERLOQUE FLOR,Berloque,0,17.90,14.32,0.70,,100,
BERLOQUE BELIEVE ACREDITAR,Berloque,0,17.90,14.32,0.70,,100,
BERLOQUE SEPARADOR CORAÇÃO ROSA,Berloque,0,17.90,14.32,0.70,,100,
BERLOQUE ESTETOSCÓPIO CORAÇÃO,Berloque,0,17.90,14.32,0.70,,100,
BERLOQUE CHOCOLATE,Berloque,0,17.90,14.32,0.70,,100,
BERLOQUE ALOHA,Berloque,0,17.90,14.32,0.70,,100,
PULSEIRA PARA BERLOQUES FECHO CORAÇÃO,Pulseira,0,29.90,23.92,0.70,,100,
PULSEIRA PARA BERLOQUES FECHO TRADICIONAL,Pulseira,0,29.90,23.92,0.70,,100,
BRINCO MADRE PÉROLA,Brinco,0,14.90,11.92,0.70,,100,
PIERCING PRESSÃO,Piercing Pressão,0,9.90,7.92,0.70,,100,
BERLOQUE AVIÃO,Berloque,0,17.90,14.32,0,,100,
